service_id,date,exception_type
24-157,20231013,1
24-157,20231020,1
24-157,20231027,1
24-157,20231031,1
24-157,20231103,1
24-157,20231110,1
24-157,20231117,1
24-157,20231201,1
24-157,20231208,1
24-157,20231215,1
24-157,20231222,1
24-157,20231229,1
24-157,20240105,1
24-157,20240112,1
25-157,20230917,1
26-157,20230924,1
27-157,20231008,1
27-157,20231015,1
27-157,20231231,1
28-157,20231028,1
29-157,20231231,1
30-157,20230905,1
30-157,20230906,1
30-157,20230907,1
30-157,20230908,1
30-157,20230911,1
30-157,20230912,1
30-157,20230913,1
30-157,20230914,1
30-157,20230915,1
30-157,20230918,1
30-157,20230919,1
30-157,20230920,1
30-157,20230921,1
30-157,20230922,1
30-157,20230925,1
30-157,20230926,1
30-157,20230927,1
30-157,20230928,1
30-157,20230929,1
30-157,20231002,1
30-157,20231003,1
30-157,20231004,1
30-157,20231005,1
30-157,20231006,1
30-157,20231009,1
30-157,20231010,1
30-157,20231011,1
30-157,20231012,1
30-157,20231013,1
30-157,20231016,1
30-157,20231017,1
30-157,20231018,1
30-157,20231019,1
30-157,20231020,1
30-157,20231023,1
30-157,20231024,1
30-157,20231025,1
30-157,20231026,1
30-157,20231027,1
30-157,20231030,1
30-157,20231031,1
30-157,20231101,1
30-157,20231102,1
30-157,20231103,1
30-157,20231106,1
30-157,20231107,1
30-157,20231108,1
30-157,20231109,1
30-157,20231110,1
30-157,20231113,1
30-157,20231114,1
30-157,20231115,1
30-157,20231116,1
30-157,20231117,1
30-157,20231127,1
30-157,20231128,1
30-157,20231129,1
30-157,20231130,1
30-157,20231201,1
30-157,20231204,1
30-157,20231205,1
30-157,20231206,1
31-157,20231212,1
31-157,20231213,1
31-157,20231214,1
31-157,20231215,1
31-157,20231218,1
31-157,20231219,1
31-157,20231220,1
31-157,20231221,1
31-157,20231222,1
31-157,20240102,1
31-157,20240103,1
31-157,20240104,1
31-157,20240105,1
31-157,20240108,1
31-157,20240109,1
31-157,20240110,1
31-157,20240111,1
31-157,20240112,1
32-157,20230910,1
32-157,20230917,1
32-157,20230924,1
32-157,20231001,1
32-157,20231008,1
32-157,20231015,1
32-157,20231022,1
32-157,20231029,1
32-157,20231105,1
32-157,20231112,1
32-157,20231126,1
32-157,20231203,1
32-157,20231210,1
33-157,20231207,1
33-157,20231208,1
33-157,20231211,1
34-157,20231209,1
35-157,20230831,1
35-157,20230901,1
35-157,20230905,1
35-157,20230906,1
35-157,20230907,1
35-157,20230908,1
35-157,20230911,1
35-157,20230912,1
35-157,20230913,1
35-157,20230914,1
35-157,20230915,1
35-157,20230918,1
35-157,20230919,1
35-157,20230920,1
35-157,20230921,1
35-157,20230922,1
35-157,20230925,1
35-157,20230926,1
35-157,20230927,1
35-157,20230928,1
35-157,20230929,1
35-157,20231002,1
35-157,20231003,1
35-157,20231004,1
35-157,20231005,1
35-157,20231006,1
35-157,20231009,1
35-157,20231010,1
35-157,20231011,1
35-157,20231012,1
35-157,20231013,1
35-157,20231016,1
35-157,20231017,1
35-157,20231018,1
35-157,20231019,1
35-157,20231020,1
35-157,20231023,1
35-157,20231024,1
35-157,20231025,1
35-157,20231026,1
35-157,20231027,1
35-157,20231030,1
35-157,20231031,1
35-157,20231101,1
35-157,20231102,1
35-157,20231103,1
35-157,20231106,1
35-157,20231107,1
35-157,20231108,1
35-157,20231109,1
35-157,20231110,1
35-157,20231113,1
35-157,20231114,1
35-157,20231115,1
35-157,20231116,1
35-157,20231117,1
35-157,20231127,1
35-157,20231128,1
35-157,20231129,1
35-157,20231130,1
35-157,20231201,1
35-157,20231204,1
35-157,20231205,1
35-157,20231206,1
